File,Model,Operation,Severity,Issue
"src/app/api/auth/mfa/regenerate-codes/route.ts","userBackupCode","deleteMany","CRITICAL","Mutation without tenantId"
"src/app/api/auth/mfa/regenerate-codes/route.ts","userBackupCode","create","CRITICAL","Mutation without tenantId"
"src/app/api/auth/mfa/trusted-devices/[id]/route.ts","trustedDevice","update","CRITICAL","Mutation without tenantId"
"src/app/api/auth/sync/route.ts","user","create","MEDIUM","Missing Zod validation"
"src/app/api/b2b/checkout/route.ts","salesOrder","create","CRITICAL","Mutation without tenantId"
"src/app/api/banks/route.ts","bankAccount","create","CRITICAL","Mutation without tenantId"
"src/app/api/banks/route.ts","bankTransaction","create","CRITICAL","Mutation without tenantId"
"src/app/api/banks/[id]/route.ts","bankAccount","update","CRITICAL","Mutation without tenantId"
"src/app/api/banks/[id]/route.ts","bankAccount","delete","CRITICAL","Mutation without tenantId"
"src/app/api/banks/[id]/transactions/route.ts","bankTransaction","create","CRITICAL","Mutation without tenantId"
"src/app/api/banks/[id]/transactions/route.ts","bankAccount","update","CRITICAL","Mutation without tenantId"
"src/app/api/batches/route.ts","productBatch","create","CRITICAL","Mutation without tenantId"
"src/app/api/batches/route.ts","stockMovement","create","CRITICAL","Mutation without tenantId"
"src/app/api/batches/route.ts","product","update","CRITICAL","Mutation without tenantId"
"src/app/api/batches/[id]/route.ts","productBatch","update","CRITICAL","Mutation without tenantId"
"src/app/api/bookings/invoice/route.ts","booking","update","CRITICAL","Mutation without tenantId"
"src/app/api/bookings/invoice/route.ts","salesInvoice","create","HIGH","Status change without audit"
"src/app/api/bookings/invoice/route.ts","booking","update","CRITICAL","Mutation without tenantId"
"src/app/api/bookings/route.ts","booking","create","CRITICAL","Mutation without tenantId"
"src/app/api/bookings/route.ts","treasury","create","CRITICAL","Mutation without tenantId"
"src/app/api/bookings/route.ts","booking","update","CRITICAL","Mutation without tenantId"
"src/app/api/branches/route.ts","company","create","CRITICAL","Mutation without tenantId"
"src/app/api/branches/route.ts","branch","create","CRITICAL","Mutation without tenantId"
"src/app/api/branches/route.ts","branch","update","CRITICAL","Mutation without tenantId"
"src/app/api/branches/route.ts","branch","delete","CRITICAL","Mutation without tenantId"
"src/app/api/budgets/route.ts","budget","create","CRITICAL","Mutation without tenantId"
"src/app/api/budgets/scenarios/route.ts","budgetScenario","create","CRITICAL","Mutation without tenantId"
"src/app/api/budgets/scenarios/route.ts","budgetScenario","update","CRITICAL","Mutation without tenantId"
"src/app/api/budgets/scenarios/route.ts","budgetScenarioLine","deleteMany","CRITICAL","Mutation without tenantId"
"src/app/api/budgets/scenarios/route.ts","budgetScenario","delete","CRITICAL","Mutation without tenantId"
"src/app/api/categories/route.ts","category","create","CRITICAL","Mutation without tenantId"
"src/app/api/categories/[id]/route.ts","category","update","CRITICAL","Mutation without tenantId"
"src/app/api/categories/[id]/route.ts","category","delete","CRITICAL","Mutation without tenantId"
"src/app/api/clinic/appointments/route.ts","appointment","create","CRITICAL","Mutation without tenantId"
"src/app/api/clinic/erx/route.ts","clinicPrescription","create","CRITICAL","Mutation without tenantId"
"src/app/api/clinic/lab/route.ts","labOrder","create","CRITICAL","Mutation without tenantId"
"src/app/api/clinic/lab/route.ts","labResult","update","CRITICAL","Mutation without tenantId"
"src/app/api/clinic/lab/route.ts","labOrder","update","CRITICAL","Mutation without tenantId"
"src/app/api/clinic/lab/route.ts","labOrder","update","CRITICAL","Mutation without tenantId"
"src/app/api/cmms/schedules/route.ts","maintenanceSchedule","create","CRITICAL","Mutation without tenantId"
"src/app/api/cmms/work-orders/route.ts","maintenanceWorkOrder","create","CRITICAL","Mutation without tenantId"
"src/app/api/cmms/work-orders/route.ts","maintenanceWorkOrder","update","CRITICAL","Mutation without tenantId"
"src/app/api/compliance/audits/route.ts","internalAudit","create","CRITICAL","Mutation without tenantId"
"src/app/api/compliance/risks/route.ts","riskRegister","create","CRITICAL","Mutation without tenantId"
"src/app/api/compliance/risks/route.ts","riskRegister","update","CRITICAL","Mutation without tenantId"
"src/app/api/compliance/rules/route.ts","complianceRule","create","CRITICAL","Mutation without tenantId"
"src/app/api/contracts/alerts/route.ts","systemAlert","create","CRITICAL","Mutation without tenantId"
"src/app/api/contracts/renewals/route.ts","contractRenewal","create","CRITICAL","Mutation without tenantId"
"src/app/api/contracts/renewals/route.ts","contractRenewal","update","CRITICAL","Mutation without tenantId"
"src/app/api/contracts/templates/route.ts","contractTemplate","create","CRITICAL","Mutation without tenantId"
"src/app/api/contracts/templates/route.ts","contractTemplate","update","CRITICAL","Mutation without tenantId"
"src/app/api/contracts/templates/route.ts","contractClause","deleteMany","CRITICAL","Mutation without tenantId"
"src/app/api/contracts/templates/route.ts","contractTemplate","delete","CRITICAL","Mutation without tenantId"
"src/app/api/copa/characteristics/route.ts","copaCharacteristic","create","CRITICAL","Mutation without tenantId"
"src/app/api/coupons/route.ts","coupon","create","CRITICAL","Mutation without tenantId"
"src/app/api/coupons/[id]/route.ts","coupon","update","CRITICAL","Mutation without tenantId"
"src/app/api/coupons/[id]/route.ts","coupon","delete","CRITICAL","Mutation without tenantId"
"src/app/api/crm/campaigns/route.ts","crmCampaign","create","CRITICAL","Mutation without tenantId"
"src/app/api/crm/campaigns/route.ts","crmCampaign","update","CRITICAL","Mutation without tenantId"
"src/app/api/crm/campaigns/route.ts","crmCampaign","delete","CRITICAL","Mutation without tenantId"
"src/app/api/crm/leads/route.ts","lead","create","CRITICAL","Mutation without tenantId"
"src/app/api/crm/leads/route.ts","lead","update","CRITICAL","Mutation without tenantId"
"src/app/api/crm/leads/route.ts","lead","update","CRITICAL","Mutation without tenantId"
"src/app/api/crm/opportunities/route.ts","pipelineStage","createMany","CRITICAL","Mutation without tenantId"
"src/app/api/crm/opportunities/route.ts","crmAccount","create","CRITICAL","Mutation without tenantId"
"src/app/api/crm/opportunities/route.ts","opportunity","create","CRITICAL","Mutation without tenantId"
"src/app/api/crm/opportunities/route.ts","opportunity","update","CRITICAL","Mutation without tenantId"
"src/app/api/crm/sla/route.ts","slaPolicy","create","CRITICAL","Mutation without tenantId"
"src/app/api/crm/sla/route.ts","slaPolicy","update","CRITICAL","Mutation without tenantId"
"src/app/api/crm/tickets/route.ts","supportTicket","create","CRITICAL","Mutation without tenantId"
"src/app/api/crm/tickets/route.ts","supportTicket","update","CRITICAL","Mutation without tenantId"
"src/app/api/crm/whatsapp/webhook/route.ts","setting","upsert","CRITICAL","Mutation without tenantId"
"src/app/api/cron/debts/route.ts","installment","update","CRITICAL","Mutation without tenantId"
"src/app/api/cron/debts/route.ts","customer","update","CRITICAL","Mutation without tenantId"
"src/app/api/cron/hr/route.ts","attendance","create","CRITICAL","Mutation without tenantId"
"src/app/api/cron/hr/route.ts","salary","update","CRITICAL","Mutation without tenantId"
"src/app/api/cron/hr/route.ts","salary","create","CRITICAL","Mutation without tenantId"
"src/app/api/cron/predictive-po/route.ts","purchaseOrder","create","CRITICAL","Mutation without tenantId"
"src/app/api/cron/self-healer/route.ts","salesInvoice","update","CRITICAL","Mutation without tenantId"
"src/app/api/cron/shifts/route.ts","shift","update","CRITICAL","Mutation without tenantId"
"src/app/api/customer/table/[qrToken]/route.ts","waiterCall","create","CRITICAL","Mutation without tenantId"
"src/app/api/customers/route.ts","customer","create","CRITICAL","Mutation without tenantId"
"src/app/api/customers/route.ts","customer","deleteMany","CRITICAL","Mutation without tenantId"
"src/app/api/customers/[id]/gdpr-delete/route.ts","customer","update","CRITICAL","Mutation without tenantId"
"src/app/api/customers/[id]/hold/route.ts","customer","update","CRITICAL","Mutation without tenantId"
"src/app/api/customers/[id]/hold/route.ts","documentStateLog","create","CRITICAL","Mutation without tenantId"
"src/app/api/customers/[id]/route.ts","customer","update","CRITICAL","Mutation without tenantId"
"src/app/api/customers/[id]/route.ts","customer","delete","CRITICAL","Mutation without tenantId"
"src/app/api/desktop/verify-license/route.ts","desktopLicense","update","CRITICAL","Mutation without tenantId"
"src/app/api/desktop/verify-license/route.ts","desktopLicense","update","CRITICAL","Mutation without tenantId"
"src/app/api/desktop/verify-license/route.ts","desktopLicense","update","CRITICAL","Mutation without tenantId"
"src/app/api/dms/route.ts","dmsFolder","create","CRITICAL","Mutation without tenantId"
"src/app/api/dms/route.ts","dmsDocument","create","CRITICAL","Mutation without tenantId"
"src/app/api/documents/route.ts","documentArchive","create","CRITICAL","Mutation without tenantId"
"src/app/api/documents/transition/route.ts","documentStateLog","create","CRITICAL","Mutation without tenantId"
"src/app/api/documents/[id]/route.ts","documentArchive","delete","CRITICAL","Mutation without tenantId"
"src/app/api/ecommerce/orders/route.ts","onlineOrder","update","CRITICAL","Mutation without tenantId"
"src/app/api/ecommerce/stores/route.ts","storeFront","create","CRITICAL","Mutation without tenantId"
"src/app/api/ecommerce/stores/route.ts","storeFront","update","CRITICAL","Mutation without tenantId"
"src/app/api/ecommerce/sync/route.ts","customer","create","CRITICAL","Mutation without tenantId"
"src/app/api/ecommerce/sync/route.ts","salesInvoice","create","CRITICAL","Mutation without tenantId"
"src/app/api/employees/route.ts","employee","create","CRITICAL","Mutation without tenantId"
"src/app/api/employees/route.ts","employee","update","CRITICAL","Mutation without tenantId"
"src/app/api/employees/[id]/route.ts","employee","update","CRITICAL","Mutation without tenantId"
"src/app/api/employees/[id]/route.ts","employee","delete","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/fleet/route.ts","vehicle","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/legal/route.ts","promissoryNote","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/legal/route.ts","letterOfGuarantee","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/legal/route.ts","promissoryNote","update","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/legal/route.ts","checkTransaction","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/mrp/route.ts","machine","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/mrp/route.ts","manufacturingOrder","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/mrp/route.ts","manufacturingOrder","update","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/mrp/route.ts","machine","update","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/projects/budget/route.ts","projectBudgetLine","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/projects/budget/route.ts","projectBudgetLine","update","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/projects/route.ts","project","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/projects/route.ts","project","delete","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/projects/route.ts","project","update","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/projects/tasks/route.ts","projectTask","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/projects/tasks/route.ts","projectTask","update","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/projects/tasks/route.ts","projectTask","delete","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/property/route.ts","property","create","CRITICAL","Mutation without tenantId"
