Path,Lines,HasPrismaDirect,HasServiceCall,NeedsRefactor
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\propose\route.ts",42,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\[id]\approve\route.ts",42,true,false,false
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\[id]\generate-files\route.ts",74,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\[id]\post-journal\route.ts",88,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\[id]\submit-for-approval\route.ts",36,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\[id]\upload-confirmation\route.ts",69,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\payroll-gl\route.ts",259,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\period-close\route.ts",139,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\period-lock\route.ts",115,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\prepayments\route.ts",177,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\profit-centers\route.ts",80,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\profit-loss\route.ts",187,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\revenue-recognition\amortize\route.ts",26,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\revenue-recognition\route.ts",119,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\reversal\route.ts",91,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\segments\route.ts",85,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\statement\route.ts",219,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\trial-balance\route.ts",44,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\vat-return\route.ts",172,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\initiate\route.ts",28,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\reopen\route.ts",45,true,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\[runId]\finalize\route.ts",29,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\[runId]\reports\route.ts",257,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\year-end\[runId]\tasks\route.ts",30,true,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\[runId]\tasks\[taskCode]\complete\route.ts",43,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\[runId]\tasks\[taskCode]\execute\route.ts",30,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end-close\close-period\route.ts",36,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end-close\route.ts",109,false,false,false
"D:\namasoft9-3-main\src\app\api\accounts\route.ts",7,false,false,false
"D:\namasoft9-3-main\src\app\api\adjustments\route.ts",259,false,true,false
"D:\namasoft9-3-main\src\app\api\admin\audit-logs\route.ts",87,true,false,true
"D:\namasoft9-3-main\src\app\api\admin\backups\route.ts",52,true,false,true
"D:\namasoft9-3-main\src\app\api\admin\bi\query\route.ts",57,false,false,false
"D:\namasoft9-3-main\src\app\api\admin\compliance\route.ts",40,true,false,false
"D:\namasoft9-3-main\src\app\api\admin\e2e-test\route.ts",232,true,false,true
"D:\namasoft9-3-main\src\app\api\admin\knowledge\route.ts",71,true,false,true
"D:\namasoft9-3-main\src\app\api\admin\llm-costs\route.ts",148,true,false,true
"D:\namasoft9-3-main\src\app\api\admin\nodes\backup\route.ts",48,false,false,false
"D:\namasoft9-3-main\src\app\api\admin\nodes\billing\route.ts",50,true,false,false
"D:\namasoft9-3-main\src\app\api\admin\nodes\route.ts",94,true,false,true
"D:\namasoft9-3-main\src\app\api\admin\nodes\sync\route.ts",116,false,false,false
"D:\namasoft9-3-main\src\app\api\admin\orchestration\route.ts",48,true,false,false
"D:\namasoft9-3-main\src\app\api\admin\outbox\diagnostics\route.ts",16,false,true,false
"D:\namasoft9-3-main\src\app\api\admin\prompts\route.ts",83,true,false,true
"D:\namasoft9-3-main\src\app\api\admin\siem\route.ts",462,false,false,false
"D:\namasoft9-3-main\src\app\api\admin\system-audit\route.ts",22,false,false,false
"D:\namasoft9-3-main\src\app\api\ai\bank-fraud\route.ts",61,false,false,false
"D:\namasoft9-3-main\src\app\api\ai\bank-reconciliation\route.ts",89,true,false,true
"D:\namasoft9-3-main\src\app\api\ai\cfo\route.ts",77,true,false,true
"D:\namasoft9-3-main\src\app\api\ai\chat\route.ts",55,false,false,false
"D:\namasoft9-3-main\src\app\api\ai\copilot\chat\route.ts",115,true,false,true
"D:\namasoft9-3-main\src\app\api\ai\copilot\route.ts",11,false,false,false
"D:\namasoft9-3-main\src\app\api\ai\demand-forecast\route.ts",161,true,false,true
"D:\namasoft9-3-main\src\app\api\ai\fraud-monitoring\route.ts",118,true,false,true
"D:\namasoft9-3-main\src\app\api\ai\ingest\route.ts",85,false,false,false
"D:\namasoft9-3-main\src\app\api\ai\nlq\route.ts",34,false,false,false
"D:\namasoft9-3-main\src\app\api\ai\predictive-scm\route.ts",100,true,false,true
"D:\namasoft9-3-main\src\app\api\ai\rag\route.ts",43,false,false,false
"D:\namasoft9-3-main\src\app\api\ai\sales-coach\route.ts",98,true,false,true
"D:\namasoft9-3-main\src\app\api\ai-auditor\route.ts",120,true,false,true
"D:\namasoft9-3-main\src\app\api\ai-cfo\report\route.ts",130,true,false,true
"D:\namasoft9-3-main\src\app\api\ai-cfo\route.ts",105,true,false,true
"D:\namasoft9-3-main\src\app\api\ap\capture\route.ts",314,false,false,false
"D:\namasoft9-3-main\src\app\api\ap\match\route.ts",143,false,true,false
"D:\namasoft9-3-main\src\app\api\ap\three-way-match\route.ts",93,false,false,false
"D:\namasoft9-3-main\src\app\api\approvals\inbox\route.ts",30,false,false,false
"D:\namasoft9-3-main\src\app\api\approvals\route.ts",39,true,false,false
"D:\namasoft9-3-main\src\app\api\approvals\[id]\approve\route.ts",81,true,false,true
"D:\namasoft9-3-main\src\app\api\approvals\[id]\reject\route.ts",72,true,false,true
"D:\namasoft9-3-main\src\app\api\approvals\[id]\route.ts",46,false,false,false
"D:\namasoft9-3-main\src\app\api\ar\credit\route.ts",92,false,true,false
"D:\namasoft9-3-main\src\app\api\ar\dunning\route.ts",108,false,false,false
"D:\namasoft9-3-main\src\app\api\assets\depreciate\route.ts",27,false,false,false
"D:\namasoft9-3-main\src\app\api\assets\leases\post-monthly\route.ts",29,false,true,false
"D:\namasoft9-3-main\src\app\api\assets\leases\[id]\post-inception\route.ts",32,false,true,false
"D:\namasoft9-3-main\src\app\api\assets\route.ts",77,true,false,true
"D:\namasoft9-3-main\src\app\api\attendance\face-id\route.ts",92,true,false,true
"D:\namasoft9-3-main\src\app\api\attendance\route.ts",89,true,false,true
"D:\namasoft9-3-main\src\app\api\audit\field-trail\route.ts",178,true,false,true
"D:\namasoft9-3-main\src\app\api\audit-logs\route.ts",34,true,false,false
"D:\namasoft9-3-main\src\app\api\auth\2fa\backup-codes\route.ts",48,false,false,false
"D:\namasoft9-3-main\src\app\api\auth\2fa\login\route.ts",101,true,false,true
"D:\namasoft9-3-main\src\app\api\auth\2fa\setup\route.ts",68,false,false,false
"D:\namasoft9-3-main\src\app\api\auth\2fa\verify\route.ts",77,true,false,true
"D:\namasoft9-3-main\src\app\api\auth\auto-login\route.ts",157,true,false,true
"D:\namasoft9-3-main\src\app\api\auth\find-tenant-by-email\route.ts",72,false,false,false
"D:\namasoft9-3-main\src\app\api\auth\login\route.ts",119,true,false,true
"D:\namasoft9-3-main\src\app\api\auth\login-by-email\route.ts",120,true,false,true
"D:\namasoft9-3-main\src\app\api\auth\me\route.ts",49,true,false,false
"D:\namasoft9-3-main\src\app\api\auth\mfa\audit-log\route.ts",33,true,false,false
"D:\namasoft9-3-main\src\app\api\auth\mfa\backup-verify\route.ts",40,false,false,false
"D:\namasoft9-3-main\src\app\api\auth\mfa\confirm\route.ts",34,false,false,false
"D:\namasoft9-3-main\src\app\api\auth\mfa\disable\route.ts",42,false,false,false
"D:\namasoft9-3-main\src\app\api\auth\mfa\enroll\route.ts",34,false,false,false
"D:\namasoft9-3-main\src\app\api\auth\mfa\qr-code\route.ts",46,true,false,false
"D:\namasoft9-3-main\src\app\api\auth\mfa\regenerate-codes\route.ts",78,true,false,true
"D:\namasoft9-3-main\src\app\api\auth\mfa\status\route.ts",39,true,false,false
"D:\namasoft9-3-main\src\app\api\auth\mfa\trust-device\route.ts",48,false,false,false
"D:\namasoft9-3-main\src\app\api\auth\mfa\trusted-devices\[id]\route.ts",50,true,false,false
"D:\namasoft9-3-main\src\app\api\auth\mfa\verify\route.ts",110,true,false,true
"D:\namasoft9-3-main\src\app\api\auth\sso\route.ts",27,false,false,false
"D:\namasoft9-3-main\src\app\api\auth\sso-redirect\route.ts",288,false,false,false
"D:\namasoft9-3-main\src\app\api\auth\sync\route.ts",77,true,false,true
"D:\namasoft9-3-main\src\app\api\b2b\checkout\route.ts",68,true,false,true
"D:\namasoft9-3-main\src\app\api\b2b\login\route.ts",46,true,false,false
"D:\namasoft9-3-main\src\app\api\b2b\shop\route.ts",37,true,false,false
"D:\namasoft9-3-main\src\app\api\banks\import\route.ts",123,true,false,true
"D:\namasoft9-3-main\src\app\api\banks\reconciliation\route.ts",47,false,false,false
"D:\namasoft9-3-main\src\app\api\banks\route.ts",89,true,false,true
"D:\namasoft9-3-main\src\app\api\banks\[id]\route.ts",102,true,false,true
"D:\namasoft9-3-main\src\app\api\banks\[id]\transactions\route.ts",138,true,true,false
"D:\namasoft9-3-main\src\app\api\batches\expiry\route.ts",45,true,false,false
"D:\namasoft9-3-main\src\app\api\batches\route.ts",92,true,false,true
"D:\namasoft9-3-main\src\app\api\batches\[id]\route.ts",95,true,false,true
"D:\namasoft9-3-main\src\app\api\bi\budget-variance\route.ts",216,false,false,false
"D:\namasoft9-3-main\src\app\api\bi\cube\route.ts",31,false,false,false
"D:\namasoft9-3-main\src\app\api\bi\kpis\route.ts",190,false,false,false
"D:\namasoft9-3-main\src\app\api\bnpl\create-session\route.ts",47,false,false,false
"D:\namasoft9-3-main\src\app\api\bnpl\status\route.ts",27,false,false,false
"D:\namasoft9-3-main\src\app\api\bnpl\tabby\route.ts",117,true,false,true
"D:\namasoft9-3-main\src\app\api\bnpl\tamara\route.ts",112,true,false,true
"D:\namasoft9-3-main\src\app\api\bookings\invoice\route.ts",142,true,false,true
"D:\namasoft9-3-main\src\app\api\bookings\route.ts",84,true,false,true
"D:\namasoft9-3-main\src\app\api\branches\route.ts",223,true,false,true
"D:\namasoft9-3-main\src\app\api\budgeting\encumbrance\route.ts",60,false,false,false
"D:\namasoft9-3-main\src\app\api\budgeting\variance\route.ts",46,true,false,false
"D:\namasoft9-3-main\src\app\api\budgets\route.ts",81,false,false,false
"D:\namasoft9-3-main\src\app\api\budgets\scenarios\route.ts",114,false,false,false
"D:\namasoft9-3-main\src\app\api\categories\route.ts",107,true,false,true
"D:\namasoft9-3-main\src\app\api\categories\[id]\route.ts",73,true,false,true
"D:\namasoft9-3-main\src\app\api\chains\[chain]\route.ts",38,false,false,false
"D:\namasoft9-3-main\src\app\api\check-env\route.ts",35,false,false,false
"D:\namasoft9-3-main\src\app\api\clinic\appointments\route.ts",132,true,false,true
"D:\namasoft9-3-main\src\app\api\clinic\erx\route.ts",115,true,false,true
"D:\namasoft9-3-main\src\app\api\clinic\lab\route.ts",167,true,false,true
"D:\namasoft9-3-main\src\app\api\cmms\schedules\route.ts",34,false,false,false
"D:\namasoft9-3-main\src\app\api\cmms\work-orders\route.ts",46,false,false,false
"D:\namasoft9-3-main\src\app\api\com\rules\route.ts",28,true,false,false
