File,RiskType,Severity,Issue
"src\app\api\hr\payroll\calculate\route.ts","mutation without auditLog","LOW","Payroll/Salary mutation lacks auditLog"
"src\app\api\hr\payroll\config\route.ts","mutation without auditLog","LOW","Payroll/Salary mutation lacks auditLog"
"src\app\api\hr\payroll\generate\route.ts","mutation without auditLog","LOW","Payroll/Salary mutation lacks auditLog"
